3,3,"Chilton",NAMEFINDER_ME,"Hannibal Lecter . Dr . Chilton at the asylum will go",0.9328302361856242,NameDatabase@34ce8af7
4,4,"CHILTON",SPEAKER_WITH_VO_OS,"CHILTON (O.S.)/It's so rare to capture one alive.",1.0,NameDatabase@34ce8af7
4,4,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/You know, we get a lot of detectives",0.7,NameDatabase@34ce8af7
4,4,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/Will you be in Baltimore overnight...?",0.7,NameDatabase@34ce8af7
4,4,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I'm sure it's a great town, Dr.",0.8,NameDatabase@34ce8af7
4,4,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/(pause, sourly)",0.7,NameDatabase@34ce8af7
4,4,"Lecter",NAMEFINDER_ME,"of view , Dr . Lecter is our most prized asset",1.0,NameDatabase@34ce8af7
4,4,"FREDERICK CHILTON",NAMEFINDER_ME,"prized asset ... DR . FREDERICK CHILTON looks up from her card",1.0,NameDatabase@34ce8af7
4,4,"Chilton",NAMEFINDER_ME,"great town , Dr . Chilton , but my instructions are",1.0,NameDatabase@34ce8af7
5,5,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/Lecter carved up nine people - that",0.7,NameDatabase@34ce8af7
5,5,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/How do you mean, Dr. Chilton?",0.8,NameDatabase@34ce8af7
5,5,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/A pretty young woman, to turn him",0.7,NameDatabase@34ce8af7
5,5,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I graduated magna from UVA, Doctor.",0.8,NameDatabase@34ce8af7
5,5,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/Good. Then you should be able to",0.7,NameDatabase@34ce8af7
5,5,"Chilton",NAMEFINDER_ME,"the bolt shooting home . Chilton walks ahead of her .",1.0,NameDatabase@34ce8af7
5,5,"Chilton",NAMEFINDER_ME,"you mean , Dr . Chilton ? A pretty young woman",1.0,NameDatabase@34ce8af7
6,6,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/Do not reach through the bars, do",0.7,NameDatabase@34ce8af7
6,6,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I understand.",0.8,NameDatabase@34ce8af7
6,6,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/I'm going to show you why we insist",0.7,NameDatabase@34ce8af7
6,6,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/The doctors managed to re-set her",0.7,NameDatabase@34ce8af7
6,6,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(quickly blocking him)",0.8,NameDatabase@34ce8af7
6,6,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/(annoyed)",0.7,NameDatabase@34ce8af7
6,6,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/But then I would've missed the",0.8,NameDatabase@34ce8af7
6,6,"CHILTON",SPEAKER_ABOVE_DIALOGUE,"CHILTON/When she's finished, bring her out.",0.7,NameDatabase@34ce8af7
6,6,"BARNEY",SPEAKER_ABOVE_DIALOGUE,"BARNEY/Hi, I'm Barney. He told you, don't",1.0,NameDatabase@34ce8af7
6,6,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(shaking his hand)",0.8,NameDatabase@34ce8af7
6,6,"BARNEY",SPEAKER_ABOVE_DIALOGUE,"BARNEY/Okay. Past the others, it's the last",1.0,NameDatabase@34ce8af7
6,6,"BARNEY",SPEAKER_ABOVE_DIALOGUE,"BARNEY/I'm watching. You'll do fine.",1.0,NameDatabase@34ce8af7
6,6,"Chilton",NAMEFINDER_ME,"blocking him ) Dr . Chilton - if Lecter feels you",1.0,NameDatabase@34ce8af7
7,7,"DARK FIGURE",SPEAKER_ABOVE_DIALOGUE,"DARK FIGURE/I c-can sssmell your cunt!",0.7,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Dr. Lecter... My name is Clarice",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Doctor, we have a hard problem in",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I am, yes.",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I'm - still in training at the",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/We're talking about psychology,",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/He said - ""I can smell your cunt.""",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(beat)",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Maybe they'll catch up.",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(shifting uncomfortably)",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/All that detail, just from memory...?",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Dr. Lecter, if you'd please consider -",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I'm only asking you to look at this,",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/No, I came because we need -",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Five... so far.",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Partially, yes. But Doctor, that's",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I'll tell you if you'll look at this",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/It excites him. Most serial killers",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/No. You ate yours.",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/No. I only hoped that your knowledge -",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/You see a lot, Dr. Lecter. But are",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Reasonably so. Yes.",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/And the questionnaire...?",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/is spattered on the face and neck - not with blood, but with",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Then please - do this test for me.",0.8,NameDatabase@34ce8af7
7,7,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/What's that, Dr. Lecter?",0.8,NameDatabase@34ce8af7
7,7,"Hannibal Lecter",NAMEFINDER_ME,"with you ? Dr . Hannibal Lecter is lounging on his bunk",1.0,NameDatabase@34ce8af7
7,7,"Jack Crawford",NAMEFINDER_ME,"You ' re one of Jack Crawford ' s , I expect",1.0,NameDatabase@34ce8af7
7,7,"Lecter",NAMEFINDER_ME,"her fear . Dr . Lecter ' s nostrils lift ,",1.0,NameDatabase@34ce8af7
7,7,"Jack Crawford",NAMEFINDER_ME,"Academy . DR . LECTER Jack Crawford sent a trainee to me",1.0,NameDatabase@34ce8af7
7,7,"Doctor",NAMEFINDER_ME,"re talking about psychology , Doctor , not the Bureau .",0.8607513690413899,NameDatabase@34ce8af7
7,7,"Starling",NAMEFINDER_ME,". LECTER Memory , Officer Starling , is what I have",0.664582457926793,NameDatabase@34ce8af7
7,7,"Lecter",NAMEFINDER_ME,"her case . Dr . Lecter , if you ' d",1.0,NameDatabase@34ce8af7
7,7,"Did Crawford",NAMEFINDER_ME,"Such a naughty boy ! Did Crawford send you to ask for",1.0,NameDatabase@34ce8af7
7,7,"Lecter",NAMEFINDER_ME,"behind her , Dr . Lecter calls out , very agitated",1.0,NameDatabase@34ce8af7
8,8,"THE YOUNG CLARICE",SPEAKER_ABOVE_DIALOGUE,"THE YOUNG CLARICE/rushes into them, and he sweeps her up in a hug, spinning",1.0,NameDatabase@34ce8af7
8,8,"THE ADULT CLARICE",SPEAKER_ABOVE_DIALOGUE,"THE ADULT CLARICE/alone in the parking lot, sagging against her car. Her face",0.7,NameDatabase@34ce8af7
8,8,"THE GIRL",PERSON_NOUN,"MOVING ANGLE - THE GIRL'S POV",0.7,null
8,8,"A MAN",PERSON_NOUN,"a car - late 60's vintage - parked in the dirt road. A MAN,",0.7,null
8,8,"YOUNG CLARICE",PERSON_ADJ,"THE YOUNG CLARICE",0.7,null
8,8,"THE ADULT",PERSON_NOUN,"THE ADULT CLARICE",0.7,null
10,10,"ARDELIA",SPEAKER_ABOVE_DIALOGUE,"ARDELIA/Phone call, Clarice. It's God.",0.8,NameDatabase@34ce8af7
10,10,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Thanks, Ardelia.",0.8,NameDatabase@34ce8af7
10,10,"ARDELIA",SPEAKER_ABOVE_DIALOGUE,"ARDELIA/You missed Fourth Amendment law.",0.8,NameDatabase@34ce8af7
10,10,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Pleading with a crazy man, with come",0.8,NameDatabase@34ce8af7
