DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1,6,DAY,PUBLISHING HOUSE RECEPTION AREA/
2,2,13,DAY,TILED HALLWAY/
3,3:162:160,15,DAY,TUBE/
4,4:25:32:158,21,DAY,WAITING ROOM/
5,5,24,DAY,INNER OFFICE AREA/
6,6:133:151,27,DAY,OFFICE/
7,7:132:139,15,DAY,COMMUTER TRAIN STATION/
8,8,13,DAY,MONTAUK TRAIN STATION/
9,9:11:87:121:122:123:125,56,DAY,BEACH/
10,10,17,DAY,DINER/
11,12,13,DAY,MONTAUK TRAIN STATION PLATFORM/
12,13:14:15,56,DAY,TRAIN/
13,16,13,NIGHT,TRAIN STATION/
14,17:44:81:83:103:126,33,NIGHT,CAR/
15,144:148:18:62:65:67:69:104:138:141,95,DAY,CLEMENTINE'S APARTMENT/
16,19:23:43:50,19,NIGHT,JOEL'S CAR/
17,95:128:20:92,22,DAY,JOEL'S APARTMENT BUILDING/
18,30:72:109:117:145:147:21:28:35:38:40:42:47:48:52:54:55:58:61:63:66:70:76:86:106:108:142,106,DAY,JOEL'S APARTMENT/
19,22,23,NIGHT,BOOKSTORE/
20,24:45,14,DAY,NEW YORK STREET/
21,26:31,14,DAY,HALLWAY/
22,27,23,DAY,LABORATORY/
23,29,14,DAY,LAB ROOM/
24,33,13,DAY,OFFICE HALL/
25,34:36:135:150,26,DAY,MIERZWIAK'S OFFICE/
26,37:39,16,DAY,JOEL'S OFFICE/
27,41,20,NIGHT,ROB AND CARRIE'S LIVING ROOM/
28,46,14,DAY,ELEVATOR/
29,49:51:53:64,17,NIGHT,STREET/
30,56,21,DAY,ZOO/
31,57,17,NIGHT,BAR/
32,94:110:127:131:59:74:79:82:84:91:98:116:137,64,DAY,JOEL'S BEDROOM/
33,60:100,21,NIGHT,CHINESE RESTAURANT/
34,68:96:143,28,NIGHT,CHARLES RIVER/
35,71,15,DAY,FOREST/
36,73:77:80,27,DAY,KITCHEN/
37,75,15,NIGHT,MIERZWIAK'S BEDROOM/
38,78,13,NIGHT,CLEMENTINE'S CAR/
39,85,18,DAY,SCHOOLYARD/
40,88,15,NIGHT,BOY'S BEDROOM/
41,89:102:136,23,NIGHT,RESTAURANT/
42,90,17,DAY,SUBURBAN STREET/
43,93,13,DAY,COUNTRY ROAD/
44,97,13,NIGHT,COMMUTER TRAIN/
45,99,16,DAY,ROWBOAT/
46,101,13,DAY,DRESS SHOP/
47,134:154:105,22,DAY,LACUNA RECEPTION AREA/
48,107,13,DAY,ROOM/
49,111:113,24,NIGHT,BORDER'S BOOKSTORE/
50,112:153,20,DAY,PARK/
51,114:118,19,NIGHT,ROB AND CARRIE'S CAR/
52,115,13,NIGHT,BUILDING STAIRWAY/
53,119:146,14,DAY,ROB AND CARRIE'S KITCHEN/
54,120,13,NIGHT,BEACH PARKING LOT/
55,124,22,NIGHT,HOUSE/
56,129,13,DAY,PATRICK'S CAR/
57,130,21,DAY,PARKING STRUCTURE/
58,140:152,22,DAY,MARY'S APARTMENT/
59,149,14,DAY,LACUNA LTD. WAITING ROOM/
60,155:157,14,DAY,COMMUTER TUBE/
61,156:161,15,DAY,VAGUE SPACE/
62,159,15,DAY,OLD MAN'S OFFICE/
63,163,14,NIGHT,SECOND OLD WOMAN'S APARTMENT/
