DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:162:160:4:25:32:158:5:133,32,DAY,PUBLISHING HOUSE RECEPTION AREA
2,6:151:7:132:139:8:9:11,32,DAY,OFFICE
3,87:121:122:125:10:12:14:15:16:44:81:83:103:126:144:138:141,32,DAY,BEACH
4,123,42,NIGHT,BEACH
5,13,50,DAY,TRAIN
6,17:148:104,32,NIGHT,CAR
7,18,60,NIGHT,CLEMENTINE'S APARTMENT
8,62:65:67:69:19:23:43:50,32,NIGHT,CLEMENTINE'S APARTMENT
9,95:128:20:92:30:72:109:117:145,32,DAY,JOEL'S APARTMENT BUILDING
10,147:21:28:35:38:40:42:52,32,DAY,JOEL'S APARTMENT
11,47:48:54:55:76:106:108:24,32,NIGHT,JOEL'S APARTMENT
12,58:61:63:66:70:86,32,NIGHT,JOEL'S APARTMENT
13,142:22:45:26:31:51,32,NIGHT,JOEL'S APARTMENT
14,27:29:33:34:36:150:49,32,DAY,LABORATORY
15,37:39:41:46:53:64:59:60,32,DAY,JOEL'S OFFICE
16,56:57:94:110:127:131:98:137:96:97,32,DAY,ZOO
17,74:79:82:84:100:129,32,NIGHT,JOEL'S BEDROOM
18,91:116:134,32,NIGHT,JOEL'S BEDROOM
19,68:143:71:73:93,32,NIGHT,CHARLES RIVER
20,77:80:75:78:85:88,31,DAY,KITCHEN
21,89:102:136:90:99:101:154:111,32,NIGHT,RESTAURANT
22,105:107:113:112,32,NIGHT,LACUNA RECEPTION AREA
23,153:114:118:115:119:146:120:124,32,DAY,PARK
24,130:135:140:152,32,DAY,PARKING STRUCTURE
25,149:155:157:156:161:159:163,20,DAY,LACUNA LTD. WAITING ROOM
