DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:4:5:6:7:8:9:93,40,DAY,MONTAUK TRAIN STATION/INNER OFFICE AREA/BEACH/COUNTRY ROAD/TUBE/TILED HALLWAY/OFFICE/COMMUTER TRAIN STATION/WAITING ROOM/PUBLISHING HOUSE RECEPTION AREA/
2,10:11:12:14:15:16:17:19:20:38:40,40,DAY,BEACH/TRAIN STATION/CAR/DINER/JOEL'S APARTMENT BUILDING/MONTAUK TRAIN STATION PLATFORM/TRAIN/JOEL'S CAR/JOEL'S APARTMENT/
3,13,54,DAY,TRAIN/
4,18,64,NIGHT,CLEMENTINE'S APARTMENT/
5,21:22:23:24:25:26,40,NIGHT,HALLWAY/NEW YORK STREET/BOOKSTORE/JOEL'S CAR/WAITING ROOM/JOEL'S APARTMENT/
6,27:28:29:30:31:32:33:34:35:36:45:87,40,DAY,BEACH/LABORATORY/MIERZWIAK'S OFFICE/OFFICE HALL/HALLWAY/LAB ROOM/NEW YORK STREET/WAITING ROOM/JOEL'S APARTMENT/
7,37:39:41:42:43:44:46:47:60:92,40,DAY,CAR/CHINESE RESTAURANT/JOEL'S APARTMENT BUILDING/JOEL'S OFFICE/ROB AND CARRIE'S LIVING ROOM/JOEL'S CAR/ELEVATOR/JOEL'S APARTMENT/
8,48:49:50:51:52:53:54:55:57:61,40,NIGHT,BAR/STREET/JOEL'S CAR/JOEL'S APARTMENT/
9,56:58:59:70:86,40,DAY,JOEL'S BEDROOM/ZOO/JOEL'S APARTMENT/
10,62:63:64:65:66:67:68:69,40,NIGHT,CLEMENTINE'S APARTMENT/CHARLES RIVER/STREET/JOEL'S APARTMENT/
11,71:72:73:74:75:76:78:81:82,40,DAY,KITCHEN/JOEL'S BEDROOM/CLEMENTINE'S CAR/CAR/FOREST/JOEL'S APARTMENT/MIERZWIAK'S BEDROOM/
12,77:79:80:83:84:85,40,DAY,KITCHEN/JOEL'S BEDROOM/CAR/SCHOOLYARD/
13,88:89:90:91,40,NIGHT,JOEL'S BEDROOM/BOY'S BEDROOM/SUBURBAN STREET/RESTAURANT/
14,94:95:96:97:98:99:100:101:102:103:104:108,38,DAY,DRESS SHOP/CHARLES RIVER/CLEMENTINE'S APARTMENT/JOEL'S BEDROOM/CHINESE RESTAURANT/CAR/JOEL'S APARTMENT BUILDING/RESTAURANT/COMMUTER TRAIN/ROWBOAT/JOEL'S APARTMENT/
15,105:106:107:109:110:111:112:117:119:127:128,40,NIGHT,JOEL'S BEDROOM/JOEL'S APARTMENT BUILDING/LACUNA RECEPTION AREA/ROOM/ROB AND CARRIE'S KITCHEN/JOEL'S APARTMENT/BORDER'S BOOKSTORE/PARK/
16,113:114:115:116:118:120:121:122,40,NIGHT,BEACH/JOEL'S BEDROOM/BUILDING STAIRWAY/ROB AND CARRIE'S CAR/BEACH PARKING LOT/BORDER'S BOOKSTORE/
17,123,46,NIGHT,BEACH/
18,124:125:126:129:130:131:132:133:134:139:140,40,NIGHT,BEACH/JOEL'S BEDROOM/PATRICK'S CAR/PARKING STRUCTURE/CAR/OFFICE/LACUNA RECEPTION AREA/COMMUTER TRAIN STATION/HOUSE/MARY'S APARTMENT/
19,135:136:137:138:141:142:149:162,39,DAY,CLEMENTINE'S APARTMENT/LACUNA LTD. WAITING ROOM/JOEL'S BEDROOM/TUBE/MIERZWIAK'S OFFICE/RESTAURANT/JOEL'S APARTMENT/
20,143:144:145:146:147:148:161,40,NIGHT,CHARLES RIVER/CLEMENTINE'S APARTMENT/VAGUE SPACE/ROB AND CARRIE'S KITCHEN/JOEL'S APARTMENT/
21,150:151:152:153:154:155:156:157,40,DAY,COMMUTER TUBE/MIERZWIAK'S OFFICE/OFFICE/LACUNA RECEPTION AREA/VAGUE SPACE/MARY'S APARTMENT/PARK/
22,158:159:160:163,22,DAY,TUBE/WAITING ROOM/OLD MAN'S OFFICE/SECOND OLD WOMAN'S APARTMENT/
