DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:162:160:4:25:32:158:5:133,32,DAY,PUBLISHING HOUSE RECEPTION AREA/TILED HALLWAY/TUBE/TUBE/TUBE/WAITING ROOM/WAITING ROOM/WAITING ROOM/WAITING ROOM/INNER OFFICE AREA/OFFICE/
2,6:151:7:132:139:8:9:11,32,DAY,OFFICE/OFFICE/COMMUTER TRAIN STATION/COMMUTER TRAIN STATION/COMMUTER TRAIN STATION/MONTAUK TRAIN STATION/BEACH/BEACH/
3,87:121:122:125:10:12:14:15:16:44:81:83:103:126:144:138:141,32,DAY,BEACH/BEACH/BEACH/BEACH/DINER/MONTAUK TRAIN STATION PLATFORM/TRAIN/TRAIN/TRAIN STATION/CAR/CAR/CAR/CAR/CAR/CLEMENTINE'S APARTMENT/CLEMENTINE'S APARTMENT/CLEMENTINE'S APARTMENT/
4,123,42,NIGHT,BEACH/
5,13,50,DAY,TRAIN/
6,17:148:104,32,NIGHT,CAR/CLEMENTINE'S APARTMENT/CLEMENTINE'S APARTMENT/
7,18,60,NIGHT,CLEMENTINE'S APARTMENT/
8,62:65:67:69:19:23:43:50,32,NIGHT,CLEMENTINE'S APARTMENT/CLEMENTINE'S APARTMENT/CLEMENTINE'S APARTMENT/CLEMENTINE'S APARTMENT/JOEL'S CAR/JOEL'S CAR/JOEL'S CAR/JOEL'S CAR/
9,95:128:20:92:30:72:109:117:145,32,DAY,JOEL'S APARTMENT BUILDING/JOEL'S APARTMENT BUILDING/JOEL'S APARTMENT BUILDING/JOEL'S APARTMENT BUILDING/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/
10,147:21:28:35:38:40:42:52,32,DAY,JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/
11,47:48:54:55:76:106:108:24,32,NIGHT,JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/NEW YORK STREET/
12,58:61:63:66:70:86,32,NIGHT,JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/JOEL'S APARTMENT/
13,142:22:45:26:31:51,32,NIGHT,JOEL'S APARTMENT/BOOKSTORE/NEW YORK STREET/HALLWAY/HALLWAY/STREET/
14,27:29:33:34:36:150:49,32,DAY,LABORATORY/LAB ROOM/OFFICE HALL/MIERZWIAK'S OFFICE/MIERZWIAK'S OFFICE/MIERZWIAK'S OFFICE/STREET/
15,37:39:41:46:53:64:59:60,32,DAY,JOEL'S OFFICE/JOEL'S OFFICE/ROB AND CARRIE'S LIVING ROOM/ELEVATOR/STREET/STREET/JOEL'S BEDROOM/CHINESE RESTAURANT/
16,56:57:94:110:127:131:98:137:96:97,32,DAY,ZOO/BAR/JOEL'S BEDROOM/JOEL'S BEDROOM/JOEL'S BEDROOM/JOEL'S BEDROOM/JOEL'S BEDROOM/JOEL'S BEDROOM/CHARLES RIVER/COMMUTER TRAIN/
17,74:79:82:84:100:129,32,NIGHT,JOEL'S BEDROOM/JOEL'S BEDROOM/JOEL'S BEDROOM/JOEL'S BEDROOM/CHINESE RESTAURANT/PATRICK'S CAR/
18,91:116:134,32,NIGHT,JOEL'S BEDROOM/JOEL'S BEDROOM/LACUNA RECEPTION AREA/
19,68:143:71:73:93,32,NIGHT,CHARLES RIVER/CHARLES RIVER/FOREST/KITCHEN/COUNTRY ROAD/
20,77:80:75:78:85:88,31,DAY,KITCHEN/KITCHEN/MIERZWIAK'S BEDROOM/CLEMENTINE'S CAR/SCHOOLYARD/BOY'S BEDROOM/
21,89:102:136:90:99:101:154:111,32,NIGHT,RESTAURANT/RESTAURANT/RESTAURANT/SUBURBAN STREET/ROWBOAT/DRESS SHOP/LACUNA RECEPTION AREA/BORDER'S BOOKSTORE/
22,105:107:113:112,32,NIGHT,LACUNA RECEPTION AREA/ROOM/BORDER'S BOOKSTORE/PARK/
23,153:114:118:115:119:146:120:124,32,DAY,PARK/ROB AND CARRIE'S CAR/ROB AND CARRIE'S CAR/BUILDING STAIRWAY/ROB AND CARRIE'S KITCHEN/ROB AND CARRIE'S KITCHEN/BEACH PARKING LOT/HOUSE/
24,130:135:140:152,32,DAY,PARKING STRUCTURE/MIERZWIAK'S OFICE/MARY'S APARTMENT/MARY'S APARTMENT/
25,149:155:157:156:161:159:163,20,DAY,LACUNA LTD. WAITING ROOM/COMMUTER TUBE/COMMUTER TUBE/VAGUE SPACE/VAGUE SPACE/OLD MAN'S OFFICE/SECOND OLD WOMAN'S APARTMENT/
