SceneNumber,RawName,CanonicalName,Confidence
127,JOEL BARISH
128,STAN
128,HOWARD MIERZWIAK
129,PATRICK
129,MARY
130,STAN
130,MARY
131,JOEL BARISH
132,JOEL BARISH
133,NAOMI
133,JOEL BARISH
134,MARY
135,MARY
135,HOWARD MIERZWIAK
136,NAOMI
136,JOEL BARISH
137,NAOMI
137,JOEL BARISH
138,PATRICK
139,JOEL BARISH
140,MARY
140,JOEL BARISH
141,CLEMENTINE
141,JOEL BARISH
142,NAOMI
142,JOEL BARISH
142,CLEMENTINE
143,LISTEN
143,CLEMENTINE
143,JOEL BARISH
144,JOEL BARISH
145,CLEMENTINE
145,JOEL BARISH
146,CARRIE
146,JOEL BARISH
147,JOEL BARISH
147,CLEMENTINE
148,CLEMENTINE
148,JOEL BARISH
149,RECEPTIONIST
149,STAN
149,HOWARD MIERZWIAK
150,PATRICK
150,HOWARD MIERZWIAK
150,STAN
150,MARY
150,YOUNG WOMAN
151,MEET
151,JOEL BARISH
151,CLEMENTINE
152,MARY
152,STAN
152,HOWARD MIERZWIAK
153,SAD WOMAN
153,OLD MAN
154,SAD WOMAN
154,MARY
154,HOWARD MIERZWIAK
156,MARY
156,OLD MAN
158,MARY
158,HOWARD MIERZWIAK
158,OLD MAN
158,SECOND OLD WOMAN
159,KRUCZYNSKI
159,HOWARD MIERZWIAK
159,MARY
159,OLD MAN
159,JOEL BARISH
159,SECOND OLD WOMAN
160,SECOND OLD WOMAN
161,SECOND OLD WOMAN
162,SECOND OLD WOMAN
163,OLD MAN
