SceneNumber,CanonicalNames,SceneLengthsEights
79,STAN,8,NIGHT
80,JOEL BARISH,2,DAY
80,CLEMENTINE,2,DAY
80,HOUND,2,DAY
81,JOEL BARISH,1,NIGHT
82,HOWARD MIERZWIAK,2,NIGHT
82,MARY,2,NIGHT
82,STAN,2,NIGHT
83,CLEMENTINE,3,NIGHT
83,JOEL BARISH,3,NIGHT
84,STAN,1,NIGHT
84,HOWARD MIERZWIAK,1,NIGHT
84,MARY,1,NIGHT
85,JOE EARLY,6,AFTERNOON
85,CLEMENTINE,6,AFTERNOON
85,JOEL BARISH,6,AFTERNOON
86,HOWARD MIERZWIAK,1,NIGHT
86,STAN,1,NIGHT
87,CLEMENTINE,1,DAY
87,JOEL BARISH,1,DAY
88,CLEMENTINE,3,NIGHT
88,JOEL BARISH,3,NIGHT
89,PATRICK,3,NIGHT
89,CLEMENTINE,3,NIGHT
89,JOEL BARISH,3,NIGHT
90,BOYS,5,DAY
90,JOEL BARISH,5,DAY
90,CLEMENTINE,5,DAY
91,ALEXANDER POPE,17,NIGHT
91,HOWARD MIERZWIAK,17,NIGHT
91,MARY,17,NIGHT
91,STAN,17,NIGHT
92,STAN,2,NIGHT
92,MARY,2,NIGHT
92,HOWARD MIERZWIAK,2,NIGHT
92,JOEL BARISH,2,NIGHT
94,MARY,1,CONTINUOUS
94,HOWARD MIERZWIAK,1,CONTINUOUS
95,HOWARD MIERZWIAK,6,CONTINUOUS
95,MARY,6,CONTINUOUS
95,HOLLIS,6,CONTINUOUS
95,STAN,6,CONTINUOUS
96,PATRICK,1,NIGHT
96,CLEMENTINE,1,NIGHT
97,MARY,1,NIGHT
98,STAN,1,NIGHT
99,STEPHEN DIXON,4,DAY
99,CLEMENTINE,4,DAY
99,JOEL BARISH,4,DAY
100,NAOMI,5,NIGHT
100,CHINESE,5,NIGHT
100,JOEL BARISH,5,NIGHT
100,CLEMENTINE,5,NIGHT
102,NAOMI,3,NIGHT
102,JOEL BARISH,3,NIGHT
102,CLEMENTINE,3,NIGHT
103,JOEL BARISH,1,NIGHT
103,CLEMENTINE,1,NIGHT
104,JOEL BARISH,1,NIGHT
105,HOWARD MIERZWIAK,7,NIGHT
105,MARY,7,NIGHT
106,NAOMI,4,NIGHT
106,JOEL BARISH,4,NIGHT
108,NAOMI,1,NIGHT
109,NAOMI,2,DAY
109,JOEL BARISH,2,DAY
110,NAOMI,1,DAY
111,JOEL BARISH,1,NIGHT
111,CLEMENTINE,1,NIGHT
112,NAOMI,5,DAY
112,JOEL BARISH,5,DAY
113,MALE EMPLOYEE,11,NIGHT
113,JOEL BARISH,11,NIGHT
113,CLEMENTINE,11,NIGHT
113,MARK,11,NIGHT
114,NAOMI,2,NIGHT
114,CARRIE,2,NIGHT
114,JOEL BARISH,2,NIGHT
115,JOEL BARISH,1,NIGHT
116,NAOMI,6,NIGHT
116,JOEL BARISH,6,NIGHT
117,NAOMI,3,AFTERNOON
117,JOEL BARISH,3,AFTERNOON
118,NAOMI,5,NIGHT
118,CARRIE,5,NIGHT
118,JOEL BARISH,5,NIGHT
119,CARRIE,1,DAY
119,JOEL BARISH,1,DAY
120,JOEL BARISH,1,NIGHT
121,CARRIE,1,NIGHT
121,JOEL BARISH,1,NIGHT
122,ROB,1,MOMENTS LATER
122,JOEL BARISH,1,MOMENTS LATER
123,ROB,34,LATER
123,GREEN REVOLUTION,34,LATER
123,JOEL BARISH,34,LATER
123,CLEMENTINE,34,LATER
123,HOUND,34,LATER
124,NAOMI,10,CONTINUOUS
124,AH,10,CONTINUOUS
124,DAVID,10,CONTINUOUS
124,JOEL BARISH,10,CONTINUOUS
124,CLEMENTINE,10,CONTINUOUS
125,JOEL BARISH,1,NIGHT
126,ROB,1,NIGHT
126,CARRIE,1,NIGHT
126,JOEL BARISH,1,NIGHT
127,HOWARD MIERZWIAK,2,EARLY MORNING
127,HOLLIS,2,EARLY MORNING
127,STAN,2,EARLY MORNING
127,JOEL BARISH,2,EARLY MORNING
128,STAN,1,EARLY MORNING
128,HOWARD MIERZWIAK,1,EARLY MORNING
129,PATRICK,1,EARLY MORNING
129,MARY,1,EARLY MORNING
130,STAN,9,EARLY MORNING
130,MARY,9,EARLY MORNING
131,JOEL BARISH,1,MORNING
132,JOEL BARISH,1,MORNING
133,NAOMI,1,DAY
133,JOEL BARISH,1,DAY
134,MARY,1,DAY
135,MARY,5,CONTINUOUS
135,HOWARD MIERZWIAK,5,CONTINUOUS
136,NAOMI,5,NIGHT
136,JOEL BARISH,5,NIGHT
137,NAOMI,2,NIGHT
137,JOEL BARISH,2,NIGHT
138,PATRICK,1,NIGHT
139,JOEL BARISH,1,MORNING
140,MARY,1,MORNING
140,JOEL BARISH,1,MORNING
141,CLEMENTINE,2,NIGHT
141,JOEL BARISH,2,NIGHT
142,NAOMI,9,NIGHT
142,JOEL BARISH,9,NIGHT
142,CLEMENTINE,9,NIGHT
143,LISTEN,10,NIGHT
143,CLEMENTINE,10,NIGHT
143,JOEL BARISH,10,NIGHT
144,JOEL BARISH,1,DAY
145,CLEMENTINE,4,A FEW MINUTES LATER
145,JOEL BARISH,4,A FEW MINUTES LATER
146,CARRIE,1,DAY
146,JOEL BARISH,1,DAY
147,JOEL BARISH,2,CONTINUOUS
147,CLEMENTINE,2,CONTINUOUS
148,CLEMENTINE,9,LATER
148,JOEL BARISH,9,LATER
149,RECEPTIONIST,2,MORNING
149,STAN,2,MORNING
149,HOWARD MIERZWIAK,2,MORNING
150,PATRICK,5,MOMENTS LATER
150,HOWARD MIERZWIAK,5,MOMENTS LATER
150,STAN,5,MOMENTS LATER
150,MARY,5,MOMENTS LATER
150,YOUNG WOMAN,5,MOMENTS LATER
151,MEET,5,DAY
151,JOEL BARISH,5,DAY
151,CLEMENTINE,5,DAY
152,MARY,9,DAY
152,STAN,9,DAY
152,HOWARD MIERZWIAK,9,DAY
153,SAD WOMAN,3,AFTERNOON
153,OLD MAN,3,AFTERNOON
154,SAD WOMAN,2,DAY
154,MARY,2,DAY
154,HOWARD MIERZWIAK,2,DAY
156,MARY,2,
156,OLD MAN,2,
158,MARY,4,DAY
158,HOWARD MIERZWIAK,4,DAY
158,OLD MAN,4,DAY
