SceneOrderNumber,SceneNumber,RawName,CanonicalName,Confidence
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,CLEMENTINE,CLEMENTINE,1.0
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,CLEMENTINE,CLEMENTINE,0.8
13,CLEMENTINE,CLEMENTINE,1.0
13,CLEMENTINE,CLEMENTINE,1.0
13,CLEMENTINE,CLEMENTINE,1.0
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,CLEMENTINE,CLEMENTINE,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.8
13,CLEMENTINE,CLEMENTINE,1.0
13,JOEL,JOEL BARISH,1.0
13,CLEMENTINE,CLEMENTINE,0.9903139508210322
13,JOEL,JOEL BARISH,1.0
13,JOEL,JOEL BARISH,1.0
13,AW,AW,0.983802458438068
13,JOEL,JOEL BARISH,1.0
13,AH,AH,1.0
13,TOM WAITS,TOM WAITS,1.0
13,TOM WAITS,TOM WAITS,1.0
13,GREEN REVOLUTION,GREEN REVOLUTION,1.0
13,PINK ERASER,PINK ERASER,1.0
13,TOM WAITS,TOM WAITS,1.0
13,JOEL,JOEL BARISH,1.0
13,NICE,NICE,0.8482124933003847
