DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:162:160:4:25:32:158:5:6:133,41,DAY,INNER OFFICE AREA/TUBE/TILED HALLWAY/OFFICE/WAITING ROOM/PUBLISHING HOUSE RECEPTION AREA/
2,151:7:132:139:8:9:11:87:121:122:125:10:12:14:15:16,40,DAY,MONTAUK TRAIN STATION/BEACH/TRAIN STATION/OFFICE/DINER/MONTAUK TRAIN STATION PLATFORM/COMMUTER TRAIN STATION/TRAIN/
3,123,46,NIGHT,BEACH/
4,13,54,DAY,TRAIN/
5,17:44:81:83:103:126:144:148:108:110,45,NIGHT,CLEMENTINE'S APARTMENT/JOEL'S BEDROOM/CAR/JOEL'S APARTMENT/
6,18,64,NIGHT,CLEMENTINE'S APARTMENT/
7,62:65:67:69:104:138:141:19:23:43:50:54:55,44,NIGHT,CLEMENTINE'S APARTMENT/JOEL'S CAR/JOEL'S APARTMENT/
8,95:128:20:92:30:72:109:117:145:147:52:94:127:131,44,DAY,JOEL'S BEDROOM/JOEL'S APARTMENT BUILDING/JOEL'S APARTMENT/
9,21:28:35:38:40:42:47:48,44,NIGHT,JOEL'S APARTMENT/
10,58:61:63:66:70:76:86:106:75,45,NIGHT,JOEL'S APARTMENT/MIERZWIAK'S BEDROOM/
11,142:22:24:45:26:31:37:39:163,42,NIGHT,JOEL'S OFFICE/HALLWAY/NEW YORK STREET/BOOKSTORE/JOEL'S APARTMENT/SECOND OLD WOMAN'S APARTMENT/
12,27:29:33:34:36:135:150:156:159,45,DAY,LABORATORY/MIERZWIAK'S OFFICE/OFFICE HALL/LAB ROOM/VAGUE SPACE/OLD MAN'S OFFICE/
13,41:46:49:51:53:64:56:57:59,44,NIGHT,JOEL'S BEDROOM/BAR/ROB AND CARRIE'S LIVING ROOM/STREET/ZOO/ELEVATOR/
14,74:79:82:84:60:100:68,44,NIGHT,CHARLES RIVER/JOEL'S BEDROOM/CHINESE RESTAURANT/
15,91:98:116:137:96:78:154:120:157:161,45,NIGHT,CHARLES RIVER/JOEL'S BEDROOM/COMMUTER TUBE/CLEMENTINE'S CAR/LACUNA RECEPTION AREA/BEACH PARKING LOT/VAGUE SPACE/
16,143:71:73:77:80:118,45,NIGHT,KITCHEN/CHARLES RIVER/ROB AND CARRIE'S CAR/FOREST/
17,85:88:89:102:136:90:93:97:99:101:134,45,DAY,DRESS SHOP/COUNTRY ROAD/BOY'S BEDROOM/SUBURBAN STREET/LACUNA RECEPTION AREA/RESTAURANT/COMMUTER TRAIN/ROWBOAT/SCHOOLYARD/
18,105:107:111:113:112:153:114:115:119:146,45,NIGHT,BUILDING STAIRWAY/LACUNA RECEPTION AREA/ROB AND CARRIE'S CAR/ROOM/ROB AND CARRIE'S KITCHEN/BORDER'S BOOKSTORE/PARK/
19,124:129:130:140:152:149:155,45,NIGHT,LACUNA LTD. WAITING ROOM/COMMUTER TUBE/PATRICK'S CAR/PARKING STRUCTURE/HOUSE/MARY'S APARTMENT/
