SceneNumber,CanonicalNames,SceneLengths
123,JOEL BARISH,34
123,CLEMENTINE,34
123,HOUND,34
124,NAOMI,10
124,AH,10
124,DAVID,10
124,JOEL BARISH,10
124,CLEMENTINE,10
125,JOEL BARISH,0
126,ROB,1
126,CARRIE,1
126,JOEL BARISH,1
127,HOWARD MIERZWIAK,2
127,HOLLIS,2
127,STAN,2
127,JOEL BARISH,2
128,STAN,1
128,HOWARD MIERZWIAK,1
129,PATRICK,1
129,MARY,1
130,STAN,9
130,MARY,9
131,JOEL BARISH,0
132,JOEL BARISH,0
133,NAOMI,1
133,JOEL BARISH,1
134,MARY,0
135,MARY,5
135,HOWARD MIERZWIAK,5
136,NAOMI,5
136,JOEL BARISH,5
137,NAOMI,2
137,JOEL BARISH,2
138,PATRICK,0
139,JOEL BARISH,1
140,MARY,1
140,JOEL BARISH,1
141,CLEMENTINE,2
141,JOEL BARISH,2
142,NAOMI,9
142,JOEL BARISH,9
142,CLEMENTINE,9
143,LISTEN,10
143,CLEMENTINE,10
143,JOEL BARISH,10
144,JOEL BARISH,0
145,CLEMENTINE,4
145,JOEL BARISH,4
146,CARRIE,1
146,JOEL BARISH,1
147,JOEL BARISH,2
147,CLEMENTINE,2
148,CLEMENTINE,9
148,JOEL BARISH,9
149,RECEPTIONIST,2
149,STAN,2
149,HOWARD MIERZWIAK,2
150,PATRICK,5
150,HOWARD MIERZWIAK,5
150,STAN,5
150,MARY,5
150,YOUNG WOMAN,5
151,MEET,5
151,JOEL BARISH,5
151,CLEMENTINE,5
152,MARY,9
152,STAN,9
152,HOWARD MIERZWIAK,9
153,SAD WOMAN,3
153,OLD MAN,3
154,SAD WOMAN,2
154,MARY,2
154,HOWARD MIERZWIAK,2
156,MARY,2
156,OLD MAN,2
158,MARY,4
158,HOWARD MIERZWIAK,4
158,OLD MAN,4
158,SECOND OLD WOMAN,4
159,KRUCZYNSKI,3
159,HOWARD MIERZWIAK,3
159,MARY,3
159,OLD MAN,3
159,JOEL BARISH,3
159,SECOND OLD WOMAN,3
160,SECOND OLD WOMAN,1
161,SECOND OLD WOMAN,1
162,SECOND OLD WOMAN,1
163,OLD MAN,2
