SceneNumber,CanonicalNames,SceneLengthsEights
1,RECEPTIONIST,6,INT,PUBLISHING HOUSE RECEPTION AREA,DAY
1,SECOND OLD WOMAN,6,INT,PUBLISHING HOUSE RECEPTION AREA,DAY
4,MARY,3,INT,WAITING ROOM,DAY
4,CLEMENTINE,3,INT,WAITING ROOM,DAY
4,HOWARD MIERZWIAK,3,INT,WAITING ROOM,DAY
5,HOWARD MIERZWIAK,12,INT,INNER OFFICE AREA,DAY
5,MARY,12,INT,INNER OFFICE AREA,DAY
5,STAN,12,INT,INNER OFFICE AREA,DAY
5,CLEMENTINE,12,INT,INNER OFFICE AREA,DAY
5,COLE,12,INT,INNER OFFICE AREA,DAY
5,KRUCZYNSKI,12,INT,INNER OFFICE AREA,DAY
6,HOWARD MIERZWIAK,9,INT,OFFICE,DAY
6,CLEMENTINE,9,INT,OFFICE,DAY
7,JOEL BARISH,1,EXT,COMMUTER TRAIN STATION,DAY
8,JOEL BARISH,1,EXT,MONTAUK TRAIN STATION,DAY
9,JOEL BARISH,5,EXT,BEACH,DAY
9,NAOMI,5,EXT,BEACH,DAY
10,WAITRESS,5,INT,DINER,DAY
10,CLEMENTINE,5,INT,DINER,DAY
10,JOEL BARISH,5,INT,DINER,DAY
11,JOEL BARISH,1,EXT,BEACH,DAY
12,CLEMENTINE,1,EXT,MONTAUK TRAIN STATION PLATFORM,DAY
12,JOEL BARISH,1,EXT,MONTAUK TRAIN STATION PLATFORM,DAY
13,CLEMENTINE,42,INT,TRAIN,DAY
13,JOEL BARISH,42,INT,TRAIN,DAY
13,AW,42,INT,TRAIN,DAY
13,AH,42,INT,TRAIN,DAY
13,TOM WAITS,42,INT,TRAIN,DAY
13,GREEN REVOLUTION,42,INT,TRAIN,DAY
13,PINK ERASER,42,INT,TRAIN,DAY
13,NICE,42,INT,TRAIN,DAY
13,STEPHEN DIXON,42,INT,TRAIN,DAY
14,CLEMENTINE,1,INT,TRAIN,DAY
15,JOEL BARISH,1,INT,TRAIN,DAY
15,CLEMENTINE,1,INT,TRAIN,DAY
17,JOEL BARISH,14,INT,CAR,NIGHT
17,CLEMENTINE,14,INT,CAR,NIGHT
18,CLEMENTINE,52,INT,CLEMENTINE'S APARTMENT,NIGHT
18,JOEL BARISH,52,INT,CLEMENTINE'S APARTMENT,NIGHT
18,ROBERT FROST,52,INT,CLEMENTINE'S APARTMENT,NIGHT
18,BRIAN ENO,52,INT,CLEMENTINE'S APARTMENT,NIGHT
18,MARY,52,INT,CLEMENTINE'S APARTMENT,NIGHT
18,JOSEPH,52,INT,CLEMENTINE'S APARTMENT,NIGHT
18,PAUL SIMON,52,INT,CLEMENTINE'S APARTMENT,NIGHT
18,PATRICK,52,INT,CLEMENTINE'S APARTMENT,NIGHT
18,STEPHEN DIXON,52,INT,CLEMENTINE'S APARTMENT,NIGHT
21,JOEL BARISH,12,INT,JOEL'S APARTMENT,NIGHT
21,PINK ERASER,12,INT,JOEL'S APARTMENT,NIGHT
22,JOEL BARISH,11,INT,BOOKSTORE,NIGHT
22,PATRICK,11,INT,BOOKSTORE,NIGHT
22,CLEMENTINE,11,INT,BOOKSTORE,NIGHT
23,JOEL BARISH,2,INT,JOEL'S CAR,NIGHT
25,MARY,1,INT,WAITING ROOM,DAY
25,JOEL BARISH,1,INT,WAITING ROOM,DAY
26,MARY,1,INT,HALLWAY,DAY
27,HOWARD MIERZWIAK,11,INT,LABORATORY,DAY
27,STAN,11,INT,LABORATORY,DAY
27,JOEL BARISH,11,INT,LABORATORY,DAY
