DayNumber,SceneNumbers,EightsUsed,Time,Location
10,48:54:55:58:45:39,40,NIGHT,JOEL'S OFFICE/NEW YORK STREET/JOEL'S APARTMENT/
11,61:63:66:70:76:86:106:108:142:94:110,40,NIGHT,JOEL'S BEDROOM/JOEL'S APARTMENT/
12,22:24:26:31:27:29:33,40,NIGHT,LABORATORY/OFFICE HALL/HALLWAY/NEW YORK STREET/LAB ROOM/BOOKSTORE/
13,34:36:150:37:41:46:49:51:53:64,39,DAY,MIERZWIAK'S OFFICE/JOEL'S OFFICE/ROB AND CARRIE'S LIVING ROOM/STREET/ELEVATOR/
14,56:57:127:131:59:74:84,40,DAY,JOEL'S BEDROOM/BAR/ZOO/
15,79:82:91:98,40,NIGHT,JOEL'S BEDROOM/
16,116:137:60:100:68:96:71:80,40,NIGHT,KITCHEN/CHARLES RIVER/JOEL'S BEDROOM/CHINESE RESTAURANT/FOREST/
17,143:73:77:75:78:93,40,NIGHT,KITCHEN/CHARLES RIVER/COUNTRY ROAD/CLEMENTINE'S CAR/MIERZWIAK'S BEDROOM/
18,85:88:89:102:136:90:97:107:129,40,DAY,PATRICK'S CAR/BOY'S BEDROOM/SUBURBAN STREET/RESTAURANT/COMMUTER TRAIN/ROOM/SCHOOLYARD/
19,99:101:134:154:105:111:113:115,40,DAY,DRESS SHOP/BUILDING STAIRWAY/LACUNA RECEPTION AREA/ROWBOAT/BORDER'S BOOKSTORE/
20,112:153:114:118:119:146:120:124,40,DAY,ROB AND CARRIE'S CAR/BEACH PARKING LOT/HOUSE/ROB AND CARRIE'S KITCHEN/PARK/
21,130:135:140:152:149:155:157,40,DAY,LACUNA LTD. WAITING ROOM/MIERZWIAK'S OFICE/COMMUTER TUBE/PARKING STRUCTURE/MARY'S APARTMENT/
22,156:161:159:163,20,DAY,VAGUE SPACE/OLD MAN'S OFFICE/SECOND OLD WOMAN'S APARTMENT/
