DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1,6,DAY,PUBLISHING HOUSE RECEPTION AREA
2,2,1,DAY,TILED HALLWAY
3,3:162,2,DAY,TUBE
4,4:25:32:158,9,DAY,WAITING ROOM
5,5,12,DAY,INNER OFFICE AREA
6,6:133:151,15,DAY,OFFICE
7,7:132,2,DAY,COMMUTER TRAIN STATION
8,8,1,DAY,MONTAUK TRAIN STATION
9,9:11,6,DAY,BEACH
10,10,5,DAY,DINER
11,12,1,DAY,MONTAUK TRAIN STATION PLATFORM
12,13,42,DAY,TRAIN
13,14:15,2,DAY,TRAIN
14,16,1,NIGHT,TRAIN STATION
15,17:44:81:83:103:126,21,NIGHT,CAR
16,18,52,NIGHT,CLEMENTINE'S APARTMENT
17,19:23:43:50,7,NIGHT,JOEL'S CAR
18,20:92,3,NIGHT,JOEL'S APARTMENT BUILDING
19,21:28:35:38:40:42:47:48,32,NIGHT,JOEL'S APARTMENT
20,22,11,NIGHT,BOOKSTORE
21,24,1,DAY,NEW YORK STREET
22,26:31,2,DAY,HALLWAY
23,27,11,DAY,LABORATORY
24,29,2,DAY,LAB ROOM
25,30:72,5,DAY,JOEL'S APARTMENT
26,33,1,DAY,OFFICE HALL
27,34,3,DAY,MIERZWIAK'S OFFICE
28,36:150,6,DAY,MIERZWIAK'S OFFICE
29,37,3,DAY,JOEL'S OFFICE
30,39,1,DAY,JOEL'S OFFICE
31,41,8,NIGHT,ROB AND CARRIE'S LIVING ROOM
32,45,1,DAY,NEW YORK STREET
33,46,2,DAY,ELEVATOR
34,49:51:53:64,5,NIGHT,STREET
35,52:54:55:58:61:63:66:70:76:86,32,NIGHT,JOEL'S APARTMENT
36,56,9,DAY,ZOO
37,57,5,NIGHT,BAR
38,59:74:79:82:84,21,NIGHT,JOEL'S BEDROOM
39,60:100,9,NIGHT,CHINESE RESTAURANT
40,62:65:67:69:104:138:141,21,NIGHT,CLEMENTINE'S APARTMENT
41,68:96:143,16,NIGHT,CHARLES RIVER
42,71,3,DAY,FOREST
43,73,5,DAY,KITCHEN
44,75,3,NIGHT,MIERZWIAK'S BEDROOM
45,77,8,DAY,KITCHEN
46,78,1,NIGHT,CLEMENTINE'S CAR
47,80,2,DAY,KITCHEN
48,85,6,DAY,SCHOOLYARD
49,87,1,DAY,BEACH
50,88,3,NIGHT,BOY'S BEDROOM
51,89:102:136,11,NIGHT,RESTAURANT
52,90,5,DAY,SUBURBAN STREET
53,91:98:116:137,26,NIGHT,JOEL'S BEDROOM
54,93,1,DAY,COUNTRY ROAD
55,94:110,2,DAY,JOEL'S BEDROOM
56,95:128,7,DAY,JOEL'S APARTMENT BUILDING
57,97,1,NIGHT,COMMUTER TRAIN
58,99,4,DAY,ROWBOAT
59,101,1,DAY,DRESS SHOP
60,105,7,NIGHT,LACUNA RECEPTION AREA
61,106:108:142,14,NIGHT,JOEL'S APARTMENT
62,107,1,DAY,ROOM
63,109,2,DAY,JOEL'S APARTMENT
64,111:113,12,NIGHT,BORDER'S BOOKSTORE
65,112:153,8,DAY,PARK
66,114:118,7,NIGHT,ROB AND CARRIE'S CAR
67,115,1,NIGHT,BUILDING STAIRWAY
68,117:145:147,9,DAY,JOEL'S APARTMENT
69,119:146,2,DAY,ROB AND CARRIE'S KITCHEN
70,120,1,NIGHT,BEACH PARKING LOT
71,121:122:125,3,NIGHT,BEACH
72,123,34,NIGHT,BEACH
73,124,10,NIGHT,HOUSE
74,127:131,3,DAY,JOEL'S BEDROOM
75,129,1,DAY,PATRICK'S CAR
76,130,9,DAY,PARKING STRUCTURE
77,134:154,3,DAY,LACUNA RECEPTION AREA
78,135,5,DAY,MIERZWIAK'S OFICE
79,139,1,DAY,COMMUTER TRAIN STATION
80,140:152,10,DAY,MARY'S APARTMENT
81,144:148,10,DAY,CLEMENTINE'S APARTMENT
82,149,2,DAY,LACUNA LTD. WAITING ROOM
83,155:157,2,DAY,COMMUTER TUBE
84,156,2,DAY,VAGUE SPACE
85,159,3,DAY,OLD MAN'S OFFICE
86,160,1,NIGHT,TUBE
87,161,1,DAY,VAGUE SPACE
88,163,2,NIGHT,SECOND OLD WOMAN'S APARTMENT
