DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:4:5:6:7:8:9:10:11:12,46,DAY,MONTAUK TRAIN STATION/INNER OFFICE AREA/BEACH/TUBE/TILED HALLWAY/OFFICE/DINER/MONTAUK TRAIN STATION PLATFORM/COMMUTER TRAIN STATION/WAITING ROOM/PUBLISHING HOUSE RECEPTION AREA/
2,13:14:15,56,DAY,TRAIN/
3,16:17:18,79,NIGHT,CLEMENTINE'S APARTMENT/TRAIN STATION/CAR/
4,19:20:21:22:23:28:35:38:40:41:42:43:44:47:48:49:50:51:52:53,78,NIGHT,CAR/JOEL'S APARTMENT BUILDING/BOOKSTORE/ROB AND CARRIE'S LIVING ROOM/STREET/JOEL'S CAR/JOEL'S APARTMENT/
5,24:25:26:27:29:30:31:32:33:34:36:37:39:45:46,43,DAY,LABORATORY/MIERZWIAK'S OFFICE/OFFICE HALL/JOEL'S OFFICE/HALLWAY/NEW YORK STREET/LAB ROOM/WAITING ROOM/ELEVATOR/JOEL'S APARTMENT/
6,54:55:57:58:59:60:61:62:63:64:65:66:67:68:69:70:72:76:86:106:108:109:117:142:145:147,106,NIGHT,CLEMENTINE'S APARTMENT/CHARLES RIVER/JOEL'S BEDROOM/BAR/CHINESE RESTAURANT/STREET/JOEL'S APARTMENT/
7,56:71:73,29,DAY,KITCHEN/ZOO/FOREST/
8,74:75:78:79:81:82:83:84:88:89:91:92:94:96:97:98:100:102:103:104:110:116:127:131:137,89,NIGHT,CHARLES RIVER/CLEMENTINE'S APARTMENT/JOEL'S BEDROOM/CLEMENTINE'S CAR/BOY'S BEDROOM/CAR/CHINESE RESTAURANT/JOEL'S APARTMENT BUILDING/RESTAURANT/COMMUTER TRAIN/MIERZWIAK'S BEDROOM/
9,77:80:85:87:90:93:95:99:101,46,DAY,KITCHEN/DRESS SHOP/BEACH/COUNTRY ROAD/JOEL'S APARTMENT BUILDING/SUBURBAN STREET/ROWBOAT/SCHOOLYARD/
10,105:111:113:114:115:118:120:121:122:123:134:154,79,NIGHT,BEACH/BUILDING STAIRWAY/LACUNA RECEPTION AREA/ROB AND CARRIE'S CAR/BEACH PARKING LOT/BORDER'S BOOKSTORE/
11,107:112:119:152:153:155:156:157:158:159:161:162,44,DAY,COMMUTER TUBE/TUBE/VAGUE SPACE/ROOM/WAITING ROOM/OLD MAN'S OFFICE/ROB AND CARRIE'S KITCHEN/PARK/MARY'S APARTMENT/
12,124:125:126:136:138:141:143:160:163,45,NIGHT,BEACH/CLEMENTINE'S APARTMENT/CHARLES RIVER/TUBE/CAR/RESTAURANT/HOUSE/SECOND OLD WOMAN'S APARTMENT/
13,128:129:130:132:133:135:139:140:144:146:148:149:150:151,55,DAY,CLEMENTINE'S APARTMENT/LACUNA LTD. WAITING ROOM/PATRICK'S CAR/PARKING STRUCTURE/MIERZWIAK'S OFFICE/JOEL'S APARTMENT BUILDING/OFFICE/COMMUTER TRAIN STATION/ROB AND CARRIE'S KITCHEN/MARY'S APARTMENT/
