DayNumber,SceneNumbers,EightsUsed,Time,Location
1,57,5,NIGHT,BAR
2,9:11:87,7,DAY,BEACH
3,121:122:125,3,NIGHT,BEACH
4,123,34,NIGHT,BEACH
5,120,1,NIGHT,BEACH PARKING LOT
6,22,11,NIGHT,BOOKSTORE
7,111:113,12,NIGHT,BORDER'S BOOKSTORE
8,88,3,NIGHT,BOY'S BEDROOM
9,115,1,NIGHT,BUILDING STAIRWAY
10,17:44:81:83:103:126,21,NIGHT,CAR
11,68:96:143,16,NIGHT,CHARLES RIVER
12,60:100,9,NIGHT,CHINESE RESTAURANT
13,144:148,10,DAY,CLEMENTINE'S APARTMENT
14,18,52,NIGHT,CLEMENTINE'S APARTMENT
15,62:65:67:69:104:138:141,21,NIGHT,CLEMENTINE'S APARTMENT
16,78,1,NIGHT,CLEMENTINE'S CAR
17,97,1,NIGHT,COMMUTER TRAIN
18,7:132:139,3,DAY,COMMUTER TRAIN STATION
19,155:157,2,DAY,COMMUTER TUBE
20,93,1,DAY,COUNTRY ROAD
21,10,5,DAY,DINER
22,101,1,DAY,DRESS SHOP
23,46,2,DAY,ELEVATOR
24,71,3,DAY,FOREST
25,26:31,2,DAY,HALLWAY
26,124,10,NIGHT,HOUSE
27,5,12,DAY,INNER OFFICE AREA
28,30:72:109:117:145:147,16,DAY,JOEL'S APARTMENT
29,21:28:35:38:40:42:47:48,32,NIGHT,JOEL'S APARTMENT
30,52:54:55:58:61:63:66:70:76:86,32,NIGHT,JOEL'S APARTMENT
31,106:108:142,14,NIGHT,JOEL'S APARTMENT
32,95:128,7,DAY,JOEL'S APARTMENT BUILDING
33,20:92,3,NIGHT,JOEL'S APARTMENT BUILDING
34,94:110:127:131,5,DAY,JOEL'S BEDROOM
35,59:74:79:82:84,21,NIGHT,JOEL'S BEDROOM
36,91:98:116:137,26,NIGHT,JOEL'S BEDROOM
37,19:23:43:50,7,NIGHT,JOEL'S CAR
38,37:39,4,DAY,JOEL'S OFFICE
39,73:77:80,15,DAY,KITCHEN
40,29,2,DAY,LAB ROOM
41,27,11,DAY,LABORATORY
42,149,2,DAY,LACUNA LTD. WAITING ROOM
43,134:154,3,DAY,LACUNA RECEPTION AREA
44,105,7,NIGHT,LACUNA RECEPTION AREA
45,140:152,10,DAY,MARY'S APARTMENT
46,75,3,NIGHT,MIERZWIAK'S BEDROOM
47,34:36:150,9,DAY,MIERZWIAK'S OFFICE
48,135,5,DAY,MIERZWIAK'S OFICE
49,8,1,DAY,MONTAUK TRAIN STATION
50,12,1,DAY,MONTAUK TRAIN STATION PLATFORM
51,24:45,2,DAY,NEW YORK STREET
52,6:133:151,15,DAY,OFFICE
53,33,1,DAY,OFFICE HALL
54,159,3,DAY,OLD MAN'S OFFICE
55,112:153,8,DAY,PARK
56,130,9,DAY,PARKING STRUCTURE
57,129,1,DAY,PATRICK'S CAR
58,1,6,DAY,PUBLISHING HOUSE RECEPTION AREA
59,89:102:136,11,NIGHT,RESTAURANT
60,114:118,7,NIGHT,ROB AND CARRIE'S CAR
61,119:146,2,DAY,ROB AND CARRIE'S KITCHEN
62,41,8,NIGHT,ROB AND CARRIE'S LIVING ROOM
63,107,1,DAY,ROOM
64,99,4,DAY,ROWBOAT
65,85,6,DAY,SCHOOLYARD
66,163,2,NIGHT,SECOND OLD WOMAN'S APARTMENT
67,49:51:53:64,5,NIGHT,STREET
68,90,5,DAY,SUBURBAN STREET
69,2,1,DAY,TILED HALLWAY
70,13,42,DAY,TRAIN
71,14:15,2,DAY,TRAIN
72,16,1,NIGHT,TRAIN STATION
73,3:162,2,DAY,TUBE
74,160,1,NIGHT,TUBE
75,156:161,3,DAY,VAGUE SPACE
76,4:25:32:158,9,DAY,WAITING ROOM
77,56,9,DAY,ZOO
