DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:162:160:4:25:32:158:5:133,32,DAY,PUBLISHING HOUSE RECEPTION AREA
2,6:151:7:132:139:8:9:11:87:121:122:125:81:83,32,DAY,OFFICE
3,123,34,NIGHT,BEACH
4,10:12:14:15:16:17:44:103:126:144:67:69,32,DAY,DINER
5,13,42,DAY,TRAIN
6,148:62:65:104:138:141:19:23:43:50,32,DAY,CLEMENTINE'S APARTMENT
7,18,52,NIGHT,CLEMENTINE'S APARTMENT
8,95:128:20:92:30:72:109:117:145:147:52:54:55,32,DAY,JOEL'S APARTMENT BUILDING
9,21:28:35:38:40:42:47:48,32,NIGHT,JOEL'S APARTMENT
10,58:61:63:66:70:76:86:106:108:24,32,NIGHT,JOEL'S APARTMENT
11,142:22:45:26:31:150:49:51:53,32,NIGHT,JOEL'S APARTMENT
12,27:29:33:34:36:37:39:41:46,32,DAY,LABORATORY
13,64:56:57:94:110:127:131:59:74:84:98,32,NIGHT,STREET
14,79:82:91:60:78,32,NIGHT,JOEL'S BEDROOM
15,116:137:100:68:96:143:71,32,NIGHT,JOEL'S BEDROOM
16,73:77:80:75:85:88:89:93,31,DAY,KITCHEN
17,102:136:90:97:99:101:134:154:105:107:111:115,32,NIGHT,RESTAURANT
18,113:112:153:114:118:119:146:120:129,30,NIGHT,BORDER'S BOOKSTORE
19,124:130:135:140,25,NIGHT,HOUSE
20,152:149:155:157:156:161:159:163,21,DAY,MARY'S APARTMENT
