SceneNumber,RawName,CanonicalName,Confidence
105,MARY,46
106,NAOMI,25
106,JOEL BARISH,25
108,NAOMI,4
109,NAOMI,13
109,JOEL BARISH,13
110,NAOMI,2
111,JOEL BARISH,7
111,CLEMENTINE,7
112,NAOMI,32
112,JOEL BARISH,32
113,MALE EMPLOYEE,79
113,JOEL BARISH,79
113,CLEMENTINE,79
113,MARK,79
114,NAOMI,11
114,CARRIE,11
114,JOEL BARISH,11
115,JOEL BARISH,2
116,NAOMI,40
116,JOEL BARISH,40
117,NAOMI,23
117,JOEL BARISH,23
118,NAOMI,32
118,CARRIE,32
118,JOEL BARISH,32
119,CARRIE,4
119,JOEL BARISH,4
120,JOEL BARISH,1
121,CARRIE,2
121,JOEL BARISH,2
122,ROB,1
122,JOEL BARISH,1
123,ROB,231
123,GREEN REVOLUTION,231
123,JOEL BARISH,231
123,CLEMENTINE,231
123,HOUND,231
124,NAOMI,69
124,AH,69
124,DAVID,69
124,JOEL BARISH,69
124,CLEMENTINE,69
125,JOEL BARISH,3
126,ROB,10
126,CARRIE,10
126,JOEL BARISH,10
127,HOWARD MIERZWIAK,11
127,HOLLIS,11
127,STAN,11
127,JOEL BARISH,11
128,STAN,5
128,HOWARD MIERZWIAK,5
129,PATRICK,10
129,MARY,10
130,STAN,59
130,MARY,59
131,JOEL BARISH,1
132,JOEL BARISH,2
133,NAOMI,8
133,JOEL BARISH,8
134,MARY,2
135,MARY,36
135,HOWARD MIERZWIAK,36
136,NAOMI,33
136,JOEL BARISH,33
137,NAOMI,11
137,JOEL BARISH,11
138,PATRICK,0
139,JOEL BARISH,8
140,MARY,6
140,JOEL BARISH,6
141,CLEMENTINE,15
141,JOEL BARISH,15
142,NAOMI,64
142,JOEL BARISH,64
142,CLEMENTINE,64
143,LISTEN,68
143,CLEMENTINE,68
143,JOEL BARISH,68
144,JOEL BARISH,0
145,CLEMENTINE,25
145,JOEL BARISH,25
146,CARRIE,4
146,JOEL BARISH,4
147,JOEL BARISH,16
147,CLEMENTINE,16
148,CLEMENTINE,59
148,JOEL BARISH,59
149,RECEPTIONIST,14
149,STAN,14
149,HOWARD MIERZWIAK,14
150,PATRICK,37
150,HOWARD MIERZWIAK,37
150,STAN,37
150,MARY,37
150,YOUNG WOMAN,37
151,MEET,32
151,JOEL BARISH,32
151,CLEMENTINE,32
152,MARY,59
152,STAN,59
152,HOWARD MIERZWIAK,59
153,SAD WOMAN,24
153,OLD MAN,24
154,SAD WOMAN,17
154,MARY,17
154,HOWARD MIERZWIAK,17
156,MARY,13
156,OLD MAN,13
158,MARY,28
158,HOWARD MIERZWIAK,28
158,OLD MAN,28
158,SECOND OLD WOMAN,28
159,KRUCZYNSKI,24
159,HOWARD MIERZWIAK,24
159,MARY,24
159,OLD MAN,24
159,JOEL BARISH,24
159,SECOND OLD WOMAN,24
160,SECOND OLD WOMAN,5
161,SECOND OLD WOMAN,9
162,SECOND OLD WOMAN,8
163,OLD MAN,12
