DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1,6,DAY,PUBLISHING HOUSE RECEPTION AREA
2,2,1,DAY,TILED HALLWAY
3,3:162,2,DAY,TUBE
4,160,1,NIGHT,TUBE
5,4:25:32:158,9,DAY,WAITING ROOM
6,5,12,DAY,INNER OFFICE AREA
7,6:133:151,15,DAY,OFFICE
8,7:132:139,3,DAY,COMMUTER TRAIN STATION
9,8,1,DAY,MONTAUK TRAIN STATION
10,9:11:87,7,DAY,BEACH
11,121:122:125,3,NIGHT,BEACH
12,123,34,NIGHT,BEACH
13,10,5,DAY,DINER
14,12,1,DAY,MONTAUK TRAIN STATION PLATFORM
15,13,42,DAY,TRAIN
16,14:15,2,DAY,TRAIN
17,16,1,NIGHT,TRAIN STATION
18,17:44:81:83:103:126,21,NIGHT,CAR
19,144:148,10,DAY,CLEMENTINE'S APARTMENT
20,18,52,NIGHT,CLEMENTINE'S APARTMENT
21,62:65:67:69:104:138:141,21,NIGHT,CLEMENTINE'S APARTMENT
22,19:23:43:50,7,NIGHT,JOEL'S CAR
23,95:128,7,DAY,JOEL'S APARTMENT BUILDING
24,20:92,3,NIGHT,JOEL'S APARTMENT BUILDING
25,30:72:109:117:145:147,16,DAY,JOEL'S APARTMENT
26,21:28:35:38:40:42:47:48,32,NIGHT,JOEL'S APARTMENT
27,52:54:55:58:61:63:66:70:76:86,32,NIGHT,JOEL'S APARTMENT
28,106:108:142,14,NIGHT,JOEL'S APARTMENT
29,22,11,NIGHT,BOOKSTORE
30,24:45,2,DAY,NEW YORK STREET
31,26:31,2,DAY,HALLWAY
32,27,11,DAY,LABORATORY
33,29,2,DAY,LAB ROOM
34,33,1,DAY,OFFICE HALL
35,34:36:150,9,DAY,MIERZWIAK'S OFFICE
36,37:39,4,DAY,JOEL'S OFFICE
37,41,8,NIGHT,ROB AND CARRIE'S LIVING ROOM
38,46,2,DAY,ELEVATOR
39,49:51:53:64,5,NIGHT,STREET
40,56,9,DAY,ZOO
41,57,5,NIGHT,BAR
42,94:110:127:131,5,DAY,JOEL'S BEDROOM
43,59:74:79:82:84,21,NIGHT,JOEL'S BEDROOM
44,91:98:116:137,26,NIGHT,JOEL'S BEDROOM
45,60:100,9,NIGHT,CHINESE RESTAURANT
46,68:96:143,16,NIGHT,CHARLES RIVER
47,71,3,DAY,FOREST
48,73:77:80,15,DAY,KITCHEN
49,75,3,NIGHT,MIERZWIAK'S BEDROOM
50,78,1,NIGHT,CLEMENTINE'S CAR
51,85,6,DAY,SCHOOLYARD
52,88,3,NIGHT,BOY'S BEDROOM
53,89:102:136,11,NIGHT,RESTAURANT
54,90,5,DAY,SUBURBAN STREET
55,93,1,DAY,COUNTRY ROAD
56,97,1,NIGHT,COMMUTER TRAIN
57,99,4,DAY,ROWBOAT
58,101,1,DAY,DRESS SHOP
59,134:154,3,DAY,LACUNA RECEPTION AREA
60,105,7,NIGHT,LACUNA RECEPTION AREA
61,107,1,DAY,ROOM
62,111:113,12,NIGHT,BORDER'S BOOKSTORE
63,112:153,8,DAY,PARK
64,114:118,7,NIGHT,ROB AND CARRIE'S CAR
65,115,1,NIGHT,BUILDING STAIRWAY
66,119:146,2,DAY,ROB AND CARRIE'S KITCHEN
67,120,1,NIGHT,BEACH PARKING LOT
68,124,10,NIGHT,HOUSE
69,129,1,DAY,PATRICK'S CAR
70,130,9,DAY,PARKING STRUCTURE
71,135,5,DAY,MIERZWIAK'S OFICE
72,140:152,10,DAY,MARY'S APARTMENT
73,149,2,DAY,LACUNA LTD. WAITING ROOM
74,155:157,2,DAY,COMMUTER TUBE
75,156:161,3,DAY,VAGUE SPACE
76,159,3,DAY,OLD MAN'S OFFICE
77,163,2,NIGHT,SECOND OLD WOMAN'S APARTMENT
