DayNumber,SceneNumbers,EightsUsed,Time,Location
DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:4:5:6:7:8:9:24,40,DAY,MONTAUK TRAIN STATION/INNER OFFICE AREA/BEACH/TUBE/TILED HALLWAY/OFFICE/NEW YORK STREET/COMMUTER TRAIN STATION/WAITING ROOM/PUBLISHING HOUSE RECEPTION AREA/
2,10:11:12:14:15:16:17:19:20:28,40,DAY,BEACH/TRAIN STATION/CAR/DINER/JOEL'S APARTMENT BUILDING/MONTAUK TRAIN STATION PLATFORM/TRAIN/JOEL'S CAR/JOEL'S APARTMENT/
3,13,54,DAY,TRAIN/
4,18,64,NIGHT,CLEMENTINE'S APARTMENT/
5,21:22:23:25:26:36,40,NIGHT,MIERZWIAK'S OFFICE/HALLWAY/BOOKSTORE/JOEL'S CAR/WAITING ROOM/JOEL'S APARTMENT/
6,27:29:30:31:32:33:34:35:37:38:39,40,DAY,LABORATORY/MIERZWIAK'S OFFICE/OFFICE HALL/JOEL'S OFFICE/HALLWAY/LAB ROOM/WAITING ROOM/JOEL'S APARTMENT/
7,40:41:42:43:44:45:46:47:48,40,NIGHT,CAR/NEW YORK STREET/ROB AND CARRIE'S LIVING ROOM/JOEL'S CAR/ELEVATOR/JOEL'S APARTMENT/
8,49:50:51:52:53:54:55:56:57:92,40,NIGHT,BAR/JOEL'S APARTMENT BUILDING/STREET/ZOO/JOEL'S CAR/JOEL'S APARTMENT/
9,58:59:60:61:63,40,NIGHT,JOEL'S BEDROOM/CHINESE RESTAURANT/JOEL'S APARTMENT/
10,62:64:65:66:67:68:69:70:71,40,NIGHT,CLEMENTINE'S APARTMENT/CHARLES RIVER/STREET/JOEL'S APARTMENT/FOREST/
11,72:73:74:75:76:78:81:82:83,40,DAY,KITCHEN/JOEL'S BEDROOM/CLEMENTINE'S CAR/CAR/JOEL'S APARTMENT/MIERZWIAK'S BEDROOM/
12,77:79:80:84:85:86:87:93,40,DAY,KITCHEN/BEACH/JOEL'S BEDROOM/COUNTRY ROAD/SCHOOLYARD/JOEL'S APARTMENT/
13,88:89:90:91,40,NIGHT,JOEL'S BEDROOM/BOY'S BEDROOM/SUBURBAN STREET/RESTAURANT/
14,94:95:96:97:98:99:100:101:102:103:104:108:111,39,DAY,DRESS SHOP/CHARLES RIVER/CLEMENTINE'S APARTMENT/JOEL'S BEDROOM/CHINESE RESTAURANT/CAR/JOEL'S APARTMENT BUILDING/RESTAURANT/COMMUTER TRAIN/ROWBOAT/JOEL'S APARTMENT/BORDER'S BOOKSTORE/
15,105:106:107:109:110:112:117:119:127:128:129,40,NIGHT,JOEL'S BEDROOM/PATRICK'S CAR/JOEL'S APARTMENT BUILDING/LACUNA RECEPTION AREA/ROOM/ROB AND CARRIE'S KITCHEN/JOEL'S APARTMENT/PARK/
16,113:114:115:116:118:120:121:122,40,NIGHT,BEACH/JOEL'S BEDROOM/BUILDING STAIRWAY/ROB AND CARRIE'S CAR/BEACH PARKING LOT/BORDER'S BOOKSTORE/
17,123,46,NIGHT,BEACH/
18,124:125:126:130:131:132:133:134:139:140:144,40,NIGHT,BEACH/CLEMENTINE'S APARTMENT/JOEL'S BEDROOM/PARKING STRUCTURE/CAR/OFFICE/LACUNA RECEPTION AREA/COMMUTER TRAIN STATION/HOUSE/MARY'S APARTMENT/
19,135:136:137:138:141:142:158,40,DAY,CLEMENTINE'S APARTMENT/JOEL'S BEDROOM/MIERZWIAK'S OFFICE/RESTAURANT/WAITING ROOM/JOEL'S APARTMENT/
20,143:145:146:147:148:149,40,NIGHT,CHARLES RIVER/CLEMENTINE'S APARTMENT/LACUNA LTD. WAITING ROOM/ROB AND CARRIE'S KITCHEN/JOEL'S APARTMENT/
21,150:151:152:153:154:155:156:157,40,DAY,COMMUTER TUBE/MIERZWIAK'S OFFICE/OFFICE/LACUNA RECEPTION AREA/VAGUE SPACE/MARY'S APARTMENT/PARK/
22,159:160:161:162:163,20,DAY,TUBE/VAGUE SPACE/OLD MAN'S OFFICE/SECOND OLD WOMAN'S APARTMENT/
