SceneNumber,CanonicalNames,SceneLengthsEights
30,NAOMI,1,INT,INT . JOEL'S APARTMENT - DAY,DAY
31,JOEL BARISH,1,INT,INT . HALLWAY - DAY,DAY
32,MARY,1,INT,INT . WAITING ROOM - DAY,DAY
32,HOWARD MIERZWIAK,1,INT,INT . WAITING ROOM - DAY,DAY
32,JOEL BARISH,1,INT,INT . WAITING ROOM - DAY,DAY
33,MARY,1,INT,INT . OFFICE HALL - DAY,DAY
33,JOEL BARISH,1,INT,INT . OFFICE HALL - DAY,DAY
34,PATRICK,3,INT,INT . MIERZWIAK'S OFFICE - DAY,DAY
34,HOWARD MIERZWIAK,3,INT,INT . MIERZWIAK'S OFFICE - DAY,DAY
34,JOEL BARISH,3,INT,INT . MIERZWIAK'S OFFICE - DAY,DAY
35,PATRICK,3,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
35,STAN,3,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
36,HOWARD MIERZWIAK,1,INT,INT . MIERZWIAK'S OFFICE - DAY,DAY
37,JOEL BARISH,3,INT,INT . JOEL'S OFFICE - DAY,DAY
37,CARMEN,3,INT,INT . JOEL'S OFFICE - DAY,DAY
38,JOEL BARISH,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
39,JOEL BARISH,1,INT,INT . JOEL'S OFFICE - DAY,DAY
39,CARMEN,1,INT,INT . JOEL'S OFFICE - DAY,DAY
40,JOEL BARISH,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
41,VAGUE RECORDED,8,INT,INT . ROB AND CARRIE'S LIVING ROOM - NIGHT,NIGHT
41,ROB,8,INT,INT . ROB AND CARRIE'S LIVING ROOM - NIGHT,NIGHT
41,CARRIE,8,INT,INT . ROB AND CARRIE'S LIVING ROOM - NIGHT,NIGHT
41,JOEL BARISH,8,INT,INT . ROB AND CARRIE'S LIVING ROOM - NIGHT,NIGHT
42,CARRIE,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
