DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20,159,DAY,MONTAUK TRAIN STATION/INNER OFFICE AREA/BEACH/TRAIN STATION/TUBE/TILED HALLWAY/JOEL'S APARTMENT BUILDING/MONTAUK TRAIN STATION PLATFORM/COMMUTER TRAIN STATION/WAITING ROOM/TRAIN/PUBLISHING HOUSE RECEPTION AREA/CLEMENTINE'S APARTMENT/CAR/OFFICE/DINER/JOEL'S CAR/
2,21:22:23:28:30:35:38:40:41:42:43:44:47:48:49:50:51:52:53:54:55:58:61:63:66:70:72:75:76:78:79:81:83:86:88:89:91:100:104:106:108:109:111:117:142:145:147,182,NIGHT,JOEL'S BEDROOM/CLEMENTINE'S CAR/STREET/MIERZWIAK'S BEDROOM/CLEMENTINE'S APARTMENT/BOY'S BEDROOM/CAR/CHINESE RESTAURANT/RESTAURANT/BOOKSTORE/ROB AND CARRIE'S LIVING ROOM/JOEL'S CAR/JOEL'S APARTMENT/BORDER'S BOOKSTORE/
3,24:25:26:27:29:31:32:33:34:36:37:39:45:46:56:57:59:60:62:64:65:67:68:69:71:73:74:77:80:82:84:85:87:90:92:93:94:95:96:97:98:99:101:102:103:105:107:110:112,162,DAY,KITCHEN/BEACH/JOEL'S BEDROOM/LABORATORY/JOEL'S OFFICE/LACUNA RECEPTION AREA/HALLWAY/NEW YORK STREET/ELEVATOR/ROWBOAT/PARK/DRESS SHOP/CLEMENTINE'S APARTMENT/CHINESE RESTAURANT/MIERZWIAK'S OFFICE/OFFICE HALL/JOEL'S APARTMENT BUILDING/STREET/WAITING ROOM/SCHOOLYARD/FOREST/CHARLES RIVER/COUNTRY ROAD/BAR/CAR/SUBURBAN STREET/LAB ROOM/RESTAURANT/ZOO/COMMUTER TRAIN/ROOM/
4,113:114:115:116:118:120:121:122:123:125:126:136:157:158:160:161:162:163,91,NIGHT,BEACH/JOEL'S BEDROOM/TUBE/BUILDING STAIRWAY/BEACH PARKING LOT/VAGUE SPACE/WAITING ROOM/COMMUTER TUBE/CAR/RESTAURANT/ROB AND CARRIE'S CAR/BORDER'S BOOKSTORE/SECOND OLD WOMAN'S APARTMENT/
5,119:124:127:128:129:130:131:132:133:134:135:137:138:139:140:141:143:144:146:148:149:150:151:152:153:154:155:156:159,105,DAY,LACUNA LTD. WAITING ROOM/JOEL'S BEDROOM/PARKING STRUCTURE/MIERZWIAK'S OFFICE/JOEL'S APARTMENT BUILDING/LACUNA RECEPTION AREA/COMMUTER TRAIN STATION/VAGUE SPACE/ROB AND CARRIE'S KITCHEN/MARY'S APARTMENT/PARK/CLEMENTINE'S APARTMENT/CHARLES RIVER/COMMUTER TUBE/PATRICK'S CAR/OFFICE/HOUSE/OLD MAN'S OFFICE/
