SceneNumber,CanonicalNames,SceneLengthsEights
1,RECEPTIONIST,6,. PUBLISHING HOUSE RECEPTION AREA,. PUBLISHING HOUSE RECEPTION AREA,DAY
1,SECOND OLD WOMAN,6,. PUBLISHING HOUSE RECEPTION AREA,. PUBLISHING HOUSE RECEPTION AREA,DAY
4,MARY,3,. WAITING ROOM,. WAITING ROOM,DAY
4,HOWARD MIERZWIAK,3,. WAITING ROOM,. WAITING ROOM,DAY
4,CLEMENTINE,3,. WAITING ROOM,. WAITING ROOM,DAY
5,KRUCZYNSKI,12,. INNER OFFICE AREA,. INNER OFFICE AREA,CONTINUOUS
5,HOWARD MIERZWIAK,12,. INNER OFFICE AREA,. INNER OFFICE AREA,CONTINUOUS
5,MARY,12,. INNER OFFICE AREA,. INNER OFFICE AREA,CONTINUOUS
5,STAN,12,. INNER OFFICE AREA,. INNER OFFICE AREA,CONTINUOUS
5,COLE,12,. INNER OFFICE AREA,. INNER OFFICE AREA,CONTINUOUS
5,CLEMENTINE,12,. INNER OFFICE AREA,. INNER OFFICE AREA,CONTINUOUS
6,HOWARD MIERZWIAK,9,. OFFICE,. OFFICE,CONTINUOUS
6,CLEMENTINE,9,. OFFICE,. OFFICE,CONTINUOUS
7,JOEL BARISH,1,. COMMUTER TRAIN STATION,. COMMUTER TRAIN STATION,
8,JOEL BARISH,1,. MONTAUK TRAIN STATION,. MONTAUK TRAIN STATION,LATER
9,NAOMI,5,. BEACH,. BEACH,DAY
9,JOEL BARISH,5,. BEACH,. BEACH,DAY
10,WAITRESS,5,. DINER,. DINER,DAY
10,CLEMENTINE,5,. DINER,. DINER,DAY
10,JOEL BARISH,5,. DINER,. DINER,DAY
11,JOEL BARISH,1,. BEACH,. BEACH,DAY
12,CLEMENTINE,1,. MONTAUK TRAIN STATION PLATFORM,. MONTAUK TRAIN STATION PLATFORM,LATE AFTERNOON
12,JOEL BARISH,1,. MONTAUK TRAIN STATION PLATFORM,. MONTAUK TRAIN STATION PLATFORM,LATE AFTERNOON
13,TOM WAITS,42,. TRAIN,. TRAIN,A BIT LATER
13,PINK ERASER,42,. TRAIN,. TRAIN,A BIT LATER
13,AW,42,. TRAIN,. TRAIN,A BIT LATER
13,AH,42,. TRAIN,. TRAIN,A BIT LATER
13,STEPHEN DIXON,42,. TRAIN,. TRAIN,A BIT LATER
13,NICE,42,. TRAIN,. TRAIN,A BIT LATER
13,GREEN REVOLUTION,42,. TRAIN,. TRAIN,A BIT LATER
13,CLEMENTINE,42,. TRAIN,. TRAIN,A BIT LATER
13,JOEL BARISH,42,. TRAIN,. TRAIN,A BIT LATER
14,CLEMENTINE,1,. TRAIN,. TRAIN,LATER
15,JOEL BARISH,1,. TRAIN,. TRAIN,LATER
15,CLEMENTINE,1,. TRAIN,. TRAIN,LATER
17,JOEL BARISH,14,. CAR,. CAR,MOMENTS LATER
17,CLEMENTINE,14,. CAR,. CAR,MOMENTS LATER
18,PATRICK,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
18,ROBERT FROST,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
18,MARY,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
18,STEPHEN DIXON,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
18,JOSEPH,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
18,CLEMENTINE,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
18,JOEL BARISH,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
18,BRIAN ENO,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
18,PAUL SIMON,52,. CLEMENTINE'S APARTMENT,. CLEMENTINE'S APARTMENT,A FEW MINUTES LATER
21,PINK ERASER,12,. JOEL'S APARTMENT,. JOEL'S APARTMENT,NIGHT
21,JOEL BARISH,12,. JOEL'S APARTMENT,. JOEL'S APARTMENT,NIGHT
22,PATRICK,11,. BOOKSTORE,. BOOKSTORE,NIGHT
