SceneNumber,CanonicalNames,SceneLengthsEights
1,6,INT,PUBLISHING HOUSE RECEPTION AREA,DAY
2,1,INT,TILED HALLWAY,DAY
3,1,INT,TUBE,DAY
4,3,INT,WAITING ROOM,DAY
5,12,INT,INNER OFFICE AREA,DAY
6,9,INT,OFFICE,DAY
7,1,EXT,COMMUTER TRAIN STATION,DAY
8,1,EXT,MONTAUK TRAIN STATION,DAY
9,5,EXT,BEACH,DAY
10,5,INT,DINER,DAY
11,1,EXT,BEACH,DAY
12,1,EXT,MONTAUK TRAIN STATION PLATFORM,DAY
13,42,INT,TRAIN,DAY
14,1,INT,TRAIN,DAY
15,1,INT,TRAIN,DAY
16,1,EXT,TRAIN STATION,NIGHT
17,14,INT,CAR,NIGHT
18,52,INT,CLEMENTINE'S APARTMENT,NIGHT
19,1,INT,JOEL'S CAR,NIGHT
20,1,EXT,JOEL'S APARTMENT BUILDING,NIGHT
21,12,INT,JOEL'S APARTMENT,NIGHT
22,11,INT,BOOKSTORE,NIGHT
23,2,INT,JOEL'S CAR,NIGHT
24,1,EXT,NEW YORK STREET,DAY
25,1,INT,WAITING ROOM,DAY
26,1,INT,HALLWAY,DAY
27,11,INT,LABORATORY,DAY
28,2,INT,JOEL'S APARTMENT,NIGHT
29,2,INT,LAB ROOM,DAY
30,1,INT,JOEL'S APARTMENT,DAY
31,1,INT,HALLWAY,DAY
32,1,INT,WAITING ROOM,DAY
33,1,INT,OFFICE HALL,DAY
34,3,INT,MIERZWIAK'S OFFICE,DAY
35,3,INT,JOEL'S APARTMENT,NIGHT
36,1,INT,MIERZWIAK'S OFFICE,DAY
37,3,INT,JOEL'S OFFICE,DAY
38,1,INT,JOEL'S APARTMENT,NIGHT
39,1,INT,JOEL'S OFFICE,DAY
40,1,INT,JOEL'S APARTMENT,NIGHT
41,8,INT,ROB AND CARRIE'S LIVING ROOM,NIGHT
42,1,INT,JOEL'S APARTMENT,NIGHT
43,2,INT,JOEL'S CAR,NIGHT
44,1,INT,CAR,NIGHT
45,1,EXT,NEW YORK STREET,DAY
46,2,INT,ELEVATOR,DAY
47,4,INT,JOEL'S APARTMENT,NIGHT
48,8,INT,JOEL'S APARTMENT,NIGHT
49,1,EXT,STREET,NIGHT
50,2,INT,JOEL'S CAR,NIGHT
51,1,EXT,STREET,NIGHT
52,2,INT,JOEL'S APARTMENT,NIGHT
53,2,EXT,STREET,NIGHT
54,3,INT,JOEL'S APARTMENT,NIGHT
55,1,INT,JOEL'S APARTMENT,NIGHT
56,9,EXT,ZOO,DAY
57,5,INT,BAR,NIGHT
58,14,INT,JOEL'S APARTMENT,NIGHT
59,3,INT,JOEL'S BEDROOM,NIGHT
60,4,INT,CHINESE RESTAURANT,NIGHT
61,3,INT,JOEL'S APARTMENT,NIGHT
62,6,INT,CLEMENTINE'S APARTMENT,NIGHT
63,4,INT,JOEL'S APARTMENT,NIGHT
64,1,EXT,STREET,NIGHT
65,6,INT,CLEMENTINE'S APARTMENT,NIGHT
66,1,INT,JOEL'S APARTMENT,NIGHT
67,2,INT,CLEMENTINE'S APARTMENT,NIGHT
68,5,EXT,CHARLES RIVER,NIGHT
69,3,INT,CLEMENTINE'S APARTMENT,NIGHT
70,1,INT,JOEL'S APARTMENT,NIGHT
71,3,EXT,FOREST,DAY
72,4,INT,JOEL'S APARTMENT,DAY
73,5,INT,KITCHEN,DAY
74,7,INT,JOEL'S BEDROOM,NIGHT
75,3,INT,MIERZWIAK'S BEDROOM,NIGHT
76,2,INT,JOEL'S APARTMENT,NIGHT
77,8,INT,KITCHEN,DAY
78,1,INT,CLEMENTINE'S CAR,NIGHT
79,8,INT,JOEL'S BEDROOM,NIGHT
80,2,INT,KITCHEN,DAY
81,1,INT,CAR,NIGHT
82,2,INT,JOEL'S BEDROOM,NIGHT
83,3,INT,CAR,NIGHT
84,1,INT,JOEL'S BEDROOM,NIGHT
85,6,EXT,SCHOOLYARD,DAY
86,1,INT,JOEL'S APARTMENT,NIGHT
87,1,EXT,BEACH,DAY
88,3,INT,BOY'S BEDROOM,NIGHT
89,3,INT,RESTAURANT,NIGHT
90,5,EXT,SUBURBAN STREET,DAY
91,17,INT,JOEL'S BEDROOM,NIGHT
92,2,EXT,JOEL'S APARTMENT BUILDING,NIGHT
93,1,EXT,COUNTRY ROAD,DAY
