SceneNumber,CanonicalNames,SceneLengthsEights
94,1,INT,JOEL'S BEDROOM,DAY
95,6,EXT,JOEL'S APARTMENT BUILDING,DAY
96,1,EXT,CHARLES RIVER,NIGHT
97,1,INT,COMMUTER TRAIN,NIGHT
98,1,INT,JOEL'S BEDROOM,NIGHT
99,4,EXT,ROWBOAT,DAY
100,5,INT,CHINESE RESTAURANT,NIGHT
101,1,INT,DRESS SHOP,DAY
102,3,INT,RESTAURANT,NIGHT
103,1,INT,CAR,NIGHT
104,1,INT,CLEMENTINE'S APARTMENT,NIGHT
105,7,INT,LACUNA RECEPTION AREA,NIGHT
106,4,INT,JOEL'S APARTMENT,NIGHT
107,1,INT,ROOM,DAY
108,1,INT,JOEL'S APARTMENT,NIGHT
109,2,INT,JOEL'S APARTMENT,DAY
110,1,INT,JOEL'S BEDROOM,DAY
111,1,INT,BORDER'S BOOKSTORE,NIGHT
112,5,EXT,PARK,DAY
113,11,INT,BORDER'S BOOKSTORE,NIGHT
114,2,INT,ROB AND CARRIE'S CAR,NIGHT
115,1,INT,BUILDING STAIRWAY,NIGHT
116,6,INT,JOEL'S BEDROOM,NIGHT
117,3,INT,JOEL'S APARTMENT,DAY
118,5,INT,ROB AND CARRIE'S CAR,NIGHT
119,1,INT,ROB AND CARRIE'S KITCHEN,DAY
120,1,EXT,BEACH PARKING LOT,NIGHT
121,1,EXT,BEACH,NIGHT
122,1,EXT,BEACH,NIGHT
123,34,EXT,BEACH,NIGHT
124,10,INT,HOUSE,NIGHT
125,1,EXT,BEACH,NIGHT
126,1,INT,CAR,NIGHT
127,2,INT,JOEL'S BEDROOM,DAY
128,1,EXT,JOEL'S APARTMENT BUILDING,DAY
129,1,INT,PATRICK'S CAR,DAY
130,9,EXT,PARKING STRUCTURE,DAY
131,1,INT,JOEL'S BEDROOM,DAY
132,1,EXT,COMMUTER TRAIN STATION,DAY
133,1,INT,OFFICE,DAY
134,1,INT,LACUNA RECEPTION AREA,DAY
135,5,INT,MIERZWIAK'S OFICE,DAY
136,5,INT,RESTAURANT,NIGHT
137,2,INT,JOEL'S BEDROOM,NIGHT
138,1,INT,CLEMENTINE'S APARTMENT,NIGHT
139,1,EXT,COMMUTER TRAIN STATION,DAY
140,1,INT,MARY'S APARTMENT,DAY
141,2,INT,CLEMENTINE'S APARTMENT,NIGHT
142,9,INT,JOEL'S APARTMENT,NIGHT
143,10,EXT,CHARLES RIVER,NIGHT
144,1,EXT,CLEMENTINE'S APARTMENT,DAY
145,4,INT,JOEL'S APARTMENT,DAY
146,1,INT,ROB AND CARRIE'S KITCHEN,DAY
147,2,INT,JOEL'S APARTMENT,DAY
148,9,INT,CLEMENTINE'S APARTMENT,DAY
149,2,INT,LACUNA LTD. WAITING ROOM,DAY
150,5,INT,MIERZWIAK'S OFFICE,DAY
151,5,INT,OFFICE,DAY
152,9,INT,MARY'S APARTMENT,DAY
153,3,EXT,PARK,DAY
154,2,INT,LACUNA RECEPTION AREA,DAY
155,1,INT,COMMUTER TUBE,DAY
156,2,INT,VAGUE SPACE,DAY
157,1,INT,COMMUTER TUBE,DAY
158,4,INT,WAITING ROOM,DAY
159,3,INT,OLD MAN'S OFFICE,DAY
160,1,INT,TUBE,NIGHT
161,1,INT,VAGUE SPACE,DAY
162,1,INT,TUBE,DAY
163,2,INT,SECOND OLD WOMAN'S APARTMENT,NIGHT
