SceneNumber,CanonicalNames,SceneLengthsEights
62,CLEMENTINE,6,INT,NIGHT
62,JOEL BARISH,6,INT,NIGHT
63,MARY,4,INT,NIGHT
63,STAN,4,INT,NIGHT
63,HOWARD MIERZWIAK,4,INT,NIGHT
63,JOEL BARISH,4,INT,NIGHT
64,PATRICK,1,EXT,NIGHT
65,PATRICK,6,INT,CONTINUOUS
65,STAN,6,INT,CONTINUOUS
65,CLEMENTINE,6,INT,CONTINUOUS
65,JOEL BARISH,6,INT,CONTINUOUS
66,STAN,1,INT,CONTINUOUS
66,MARY,1,INT,CONTINUOUS
67,PATRICK,2,INT,CONTINUOUS
67,STAN,2,INT,CONTINUOUS
67,CLEMENTINE,2,INT,CONTINUOUS
67,JOEL BARISH,2,INT,CONTINUOUS
68,HOWARD MIERZWIAK,5,EXT,NIGHT
68,JOEL BARISH,5,EXT,NIGHT
69,PATRICK,3,INT,NIGHT
69,CLEMENTINE,3,INT,NIGHT
70,STAN,1,INT,NIGHT
70,MARY,1,INT,NIGHT
71,CLEMENTINE,3,EXT,DAY
71,JOEL BARISH,3,EXT,DAY
72,JOEL BARISH,4,INT,DAY
72,CLEMENTINE,4,INT,DAY
73,CLEMENTINE,5,INT,DAY
73,JOEL BARISH,5,INT,DAY
74,STAN,7,INT,NIGHT
74,MARY,7,INT,NIGHT
74,HOWARD MIERZWIAK,7,INT,NIGHT
74,LISTEN,7,INT,NIGHT
75,PATRICK,3,INT,CONTINUOUS
75,HOWARD MIERZWIAK,3,INT,CONTINUOUS
75,STAN,3,INT,CONTINUOUS
76,MARY,2,INT,NIGHT
76,STAN,2,INT,NIGHT
77,GROSS,8,INT,DAY
77,JOEL BARISH,8,INT,DAY
77,CLEMENTINE,8,INT,DAY
78,PATRICK,1,INT,NIGHT
78,CLEMENTINE,1,INT,NIGHT
79,MARY,8,INT,NIGHT
79,HOWARD MIERZWIAK,8,INT,NIGHT
79,STAN,8,INT,NIGHT
80,JOEL BARISH,2,INT,DAY
80,CLEMENTINE,2,INT,DAY
80,HOUND,2,INT,DAY
81,JOEL BARISH,1,INT,NIGHT
82,HOWARD MIERZWIAK,2,INT,NIGHT
82,MARY,2,INT,NIGHT
82,STAN,2,INT,NIGHT
83,CLEMENTINE,3,INT,NIGHT
83,JOEL BARISH,3,INT,NIGHT
84,STAN,1,INT,NIGHT
84,HOWARD MIERZWIAK,1,INT,NIGHT
84,MARY,1,INT,NIGHT
85,JOE EARLY,6,EXT,AFTERNOON
85,CLEMENTINE,6,EXT,AFTERNOON
85,JOEL BARISH,6,EXT,AFTERNOON
86,HOWARD MIERZWIAK,1,INT,NIGHT
86,STAN,1,INT,NIGHT
87,CLEMENTINE,1,EXT,DAY
87,JOEL BARISH,1,EXT,DAY
88,CLEMENTINE,3,INT,NIGHT
88,JOEL BARISH,3,INT,NIGHT
89,PATRICK,3,INT,NIGHT
89,CLEMENTINE,3,INT,NIGHT
89,JOEL BARISH,3,INT,NIGHT
90,BOYS,5,EXT,DAY
90,JOEL BARISH,5,EXT,DAY
90,CLEMENTINE,5,EXT,DAY
91,ALEXANDER POPE,17,INT,NIGHT
91,HOWARD MIERZWIAK,17,INT,NIGHT
91,MARY,17,INT,NIGHT
91,STAN,17,INT,NIGHT
92,STAN,2,EXT,NIGHT
92,MARY,2,EXT,NIGHT
92,HOWARD MIERZWIAK,2,EXT,NIGHT
92,JOEL BARISH,2,EXT,NIGHT
94,MARY,1,INT,CONTINUOUS
94,HOWARD MIERZWIAK,1,INT,CONTINUOUS
95,HOWARD MIERZWIAK,6,EXT,CONTINUOUS
95,MARY,6,EXT,CONTINUOUS
95,HOLLIS,6,EXT,CONTINUOUS
95,STAN,6,EXT,CONTINUOUS
96,PATRICK,1,EXT,NIGHT
96,CLEMENTINE,1,EXT,NIGHT
97,MARY,1,INT,NIGHT
98,STAN,1,INT,NIGHT
99,STEPHEN DIXON,4,EXT,DAY
99,CLEMENTINE,4,EXT,DAY
99,JOEL BARISH,4,EXT,DAY
100,NAOMI,5,INT,NIGHT
100,CHINESE,5,INT,NIGHT
100,JOEL BARISH,5,INT,NIGHT
100,CLEMENTINE,5,INT,NIGHT
102,NAOMI,3,INT,NIGHT
